"Name","Memory","vCPUs","CPU Type","GPU Number","GPU Type","Premium Storage support","Premium Storage Caching support","Live migration support","VM generation support","Maximum Local Disks","Maximum Data Disks","Disk IOPS","Maximum Network Interface","Temporary Storage (Gb)","Expected network bandwidth (Mbps)","Low Priority cost","1 year reserved cost","3 year reserved cost","Linux Pay As You Go cost","Windows Pay As You Go cost"
"L8s","64 Gib","8","Intel Xeon processor E5 v3 family","0","","True","False","False","unspecified","1388","32","10000/250","4","1388","8000","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"L8s v2","64 Gib","8","AMD EPYC 7551","0","","True","False","False","Generation 1 and 2","80","16","8000/1280","2","80","3200","Unavailable","0.39749 hourly","0.26396 hourly","0.624 hourly","0.992 hourly"
"M128","2048 Gib","128","Intel Xeon CPU E7-8890 v3 2.50GHz, Intel Xeon Platinum 8280M (Cascade Lake)","0","","True","True","False","Generation 1 and 2","14336","64","80000/2000","8","14336","32000","Unavailable","7.67032 hourly","3.73151 hourly","13.338 hourly","19.226 hourly"
"M128-32ms","","","","","","False","False","False","","","","","","","","Unavailable","15.30605 hourly","7.44608 hourly","26.688 hourly","35.814 hourly"
"M128-64ms","","","","","","False","False","False","","","","","","","","Unavailable","15.30605 hourly","7.44608 hourly","26.688 hourly","35.814 hourly"
"M128dms v2","3892 Gib","128","Intel Xeon Platinum 8280 (Cascade Lake)","0","","True","True","False","Generation 2","4096","64","80000","8","4096","30000","Unavailable","15.52295 hourly","7.49456 hourly","26.69 hourly","32.578 hourly"
"M128ds v2","2048 Gib","128","Intel Xeon Platinum 8280 (Cascade Lake)","0","","True","True","False","Generation 2","4096","64","80000","8","4096","30000","Unavailable","7.75856 hourly","3.74589 hourly","13.34 hourly","19.228 hourly"
"M128m","3892 Gib","128","Intel Xeon CPU E7-8890 v3 2.50GHz, Intel Xeon Platinum 8280M (Cascade Lake)","0","","True","True","False","Generation 1 and 2","14336","64","80000/2000","8","14336","32000","Unavailable","15.30605 hourly","7.44608 hourly","26.688 hourly","35.814 hourly"
"M128ms","128 Gib","2","Intel Xeon CPU E7-8890 v3 2.50GHz, Intel Xeon Platinum 8280M (Cascade Lake)","0","","True","True","False","Generation 1 and 2","3892","4096","160000/1600 (12696)","80000/2000","3892","8","Unavailable","15.30605 hourly","7.44608 hourly","26.688 hourly","35.814 hourly"
"M128ms v2","3892 Gib","128","Intel Xeon Platinum 8280 (Cascade Lake)","0","","True","True","False","Generation 2","0","64","80000","8","0","30000","Unavailable","15.2782 hourly","7.37637 hourly","26.269 hourly","32.157 hourly"
"M128s","2048 Gib","128","Intel Xeon CPU E7-8890 v3 2.50GHz, Intel Xeon Platinum 8280M (Cascade Lake)","0","","True","True","False","Generation 1 and 2","4096","64","80000/2000","8","4096","30000","Unavailable","7.67032 hourly","3.73151 hourly","13.338 hourly","19.226 hourly"
"M128s v2","2048 Gib","128","Intel Xeon Platinum 8280 (Cascade Lake)","0","","True","True","False","Generation 2","0","64","80000","8","0","30000","Unavailable","7.51381 hourly","3.6277 hourly","12.919 hourly","18.807 hourly"
"M16-4ms","","","","","","False","False","False","","","","","","","","Unavailable","1.76724 hourly","0.8597 hourly","3.073 hourly","4.2138 hourly"
"M16-8ms","","","","","","False","False","False","","","","","","","","Unavailable","1.76724 hourly","0.8597 hourly","3.073 hourly","4.2138 hourly"
"M16ms","437.5 Gib","16","Intel Xeon CPU E7-8890 v3 2.50GHz, Intel Xeon Platinum 8280M (Cascade Lake)","0","","True","True","False","Generation 1 and 2","512","16","10000/250","8","512","4000","Unavailable","1.76724 hourly","0.8597 hourly","3.073 hourly","4.2138 hourly"
"M192idms v2","4096 Gib","192","Intel Xeon Platinum 8280 (Cascade Lake)","0","","True","True","False","Generation 2","4096","64","80000","8","4096","30000","Unavailable","18.64829 hourly","9.0035 hourly","32.064 hourly","40.896 hourly"
