"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","Linux On Demand cost","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"M6IDN 32xlarge","m6idn.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","$10.1837 hourly","$3.9594 hourly","$2.4159 hourly","$16.0717 hourly","$9.8474 hourly"
"M6IDN Metal","m6idn.metal","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","$10.1837 hourly","$3.9594 hourly","$2.3091 hourly","$16.0717 hourly","$9.8474 hourly"
"I3EN Metal","i3en.metal","768.0 GiB","96 vCPUs","60000 GB                 (8 * 7500 GB NVMe SSD)","100 Gigabit","$10.8480 hourly","$4.7200 hourly","$3.2544 hourly","$15.2640 hourly","$9.1360 hourly"
"I3EN 24xlarge","i3en.24xlarge","768.0 GiB","96 vCPUs","60000 GB                 (8 * 7500 GB NVMe SSD)","100 Gigabit","$10.8480 hourly","$4.7200 hourly","$3.2544 hourly","$15.2640 hourly","$9.1360 hourly"
"R6A 48xlarge","r6a.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","$10.8864 hourly","$4.9381 hourly","$3.8785 hourly","$19.7184 hourly","$13.7701 hourly"
"R6A Metal","r6a.metal","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","$10.8864 hourly","$4.9381 hourly","$3.6379 hourly","$19.7184 hourly","$13.7701 hourly"
"I4I Metal","i4i.metal","1024.0 GiB","128 vCPUs","30000 GB                 (8 * 3750 GB NVMe SSD)","75 Gigabit","$10.9820 hourly","$5.0800 hourly","$3.2946 hourly","$16.8700 hourly","$10.9680 hourly"
"I4I 32xlarge","i4i.32xlarge","1024.0 GiB","128 vCPUs","30000 GB                 (8 * 3750 GB NVMe SSD)","75 Gigabit","$10.9824 hourly","$5.0803 hourly","$3.2947 hourly","$16.8704 hourly","$10.9683 hourly"
"R6IN 32xlarge","r6in.32xlarge","1024.0 GiB","128 vCPUs","EBS only","200 Gigabit","$11.1571 hourly","$4.5174 hourly","$2.1232 hourly","$17.0451 hourly","$10.4054 hourly"
"R6IN Metal","r6in.metal","1024.0 GiB","128 vCPUs","EBS only","200 Gigabit","$11.1571 hourly","$4.5174 hourly","$2.3094 hourly","$17.0451 hourly","$10.4054 hourly"
"P3 High Performance GPU Eight Extra Large","p3.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","$12.2400 hourly","$4.5290 hourly","$3.6720 hourly","$13.7120 hourly","$6.0010 hourly"
"R6IDN 32xlarge","r6idn.32xlarge","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","$12.5050 hourly","$5.0915 hourly","$2.0680 hourly","$18.3930 hourly","$10.9795 hourly"
"R6IDN Metal","r6idn.metal","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","$12.5050 hourly","$5.0915 hourly","$2.3551 hourly","$18.3930 hourly","$10.9795 hourly"
"INF2 48xlarge","inf2.48xlarge","768.0 GiB","192 vCPUs","EBS only","100 Gigabit","$12.9813 hourly","$5.6079 hourly","$7.8556 hourly","unavailable","unavailable"
"X2IDN 32xlarge","x2idn.32xlarge","2048.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$13.3380 hourly","$4.2783 hourly","$5.9075 hourly","$19.2260 hourly","$10.1663 hourly"
"X1 Extra High-Memory 32xlarge","x1.32xlarge","1952.0 GiB","128 vCPUs","3840 GB                 (2 * 1920 GB SSD)","25 Gigabit","$13.3380 hourly","$4.2880 hourly","$5.1093 hourly","$19.2260 hourly","$10.1760 hourly"
"X2IEDN 16xlarge","x2iedn.16xlarge","2048.0 GiB","64 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","$13.3380 hourly","$4.2783 hourly","$4.0014 hourly","$16.2820 hourly","$7.2223 hourly"
"X2IDN Metal","x2idn.metal","2048.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$13.3380 hourly","$4.2783 hourly","$5.9115 hourly","$19.2260 hourly","$10.1663 hourly"
"X1E 16xlarge","x1e.16xlarge","1952.0 GiB","64 vCPUs","1920 GB                 SSD","10 Gigabit","$13.3440 hourly","$4.2900 hourly","$4.0032 hourly","$16.2880 hourly","$7.2340 hourly"
"P2 General Purpose GPU 16xlarge","p2.16xlarge","732.0 GiB","64 vCPUs","EBS only","25 Gigabit","$14.4000 hourly","$7.3440 hourly","$7.3014 hourly","$17.3440 hourly","$10.2880 hourly"
"X2IEDN 24xlarge","x2iedn.24xlarge","3072.0 GiB","96 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","$20.0070 hourly","$6.4174 hourly","$6.0021 hourly","$24.4230 hourly","$10.8334 hourly"
"P3 High Performance GPU 16xlarge","p3.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","$24.4800 hourly","$9.0570 hourly","$7.3440 hourly","$27.4240 hourly","$12.0010 hourly"
"X2IEDN 32xlarge","x2iedn.32xlarge","4096.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$26.6760 hourly","$8.5566 hourly","$8.0028 hourly","$32.5640 hourly","$14.4446 hourly"
"X2IEDN Metal","x2iedn.metal","4096.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$26.6760 hourly","$8.5566 hourly","$9.4021 hourly","$32.5640 hourly","$14.4446 hourly"
"X1E 32xlarge","x1e.32xlarge","3904.0 GiB","128 vCPUs","3840 GB                 (2 * 1920 GB SSD)","25 Gigabit","$26.6880 hourly","$8.5790 hourly","$8.0064 hourly","$32.5760 hourly","$14.4670 hourly"
"U-3TB1 56xlarge","u-3tb1.56xlarge","3072.0 GiB","224 vCPUs","EBS only","50 Gigabit","$27.3000 hourly","$8.7715 hourly","unavailable","$37.6040 hourly","$19.0755 hourly"
"P4D Highest Performance GPU 24xlarge","p4d.24xlarge","1152.0 GiB","96 vCPUs","8000 GB                 (8 * 1000 GB NVMe SSD)","4x 100 Gigabit","$32.7726 hourly","$12.4990 hourly","$9.8318 hourly","unavailable","unavailable"
"U-6TB1 56xlarge","u-6tb1.56xlarge","6144.0 GiB","224 vCPUs","EBS only","100 Gigabit","$46.4039 hourly","$14.9096 hourly","unavailable","$56.7079 hourly","$25.2136 hourly"
"U-6TB1 112xlarge","u-6tb1.112xlarge","6144.0 GiB","448 vCPUs","EBS only","100 Gigabit","$54.6000 hourly","$17.5430 hourly","unavailable","$75.2080 hourly","$38.1510 hourly"
"U-12TB1 112xlarge","u-12tb1.112xlarge","12288.0 GiB","448 vCPUs","EBS only","100 Gigabit","$109.2000 hourly","$35.1449 hourly","unavailable","$129.8080 hourly","$55.7529 hourly"
"T1 Micro","t1.micro","0.613 GiB","1 vCPUs","EBS only","Very Low","unavailable","unavailable","unavailable","unavailable","unavailable"
"M1 General Purpose Small","m1.small","1.7 GiB","1 vCPUs","160 GB                 HDD","Low","unavailable","unavailable","unavailable","unavailable","unavailable"
"M3 General Purpose Medium","m3.medium","3.75 GiB","1 vCPUs","4 GB                 SSD","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"M1 General Purpose Medium","m1.medium","3.75 GiB","1 vCPUs","410 GB                 HDD","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"C3 High-CPU Large","c3.large","3.75 GiB","2 vCPUs","32 GB                 (2 * 16 GB SSD)","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"C1 High-CPU Medium","c1.medium","1.7 GiB","2 vCPUs","350 GB                 HDD","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"M3 General Purpose Large","m3.large","7.5 GiB","2 vCPUs","32 GB                 SSD","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"M1 General Purpose Large","m1.large","7.5 GiB","2 vCPUs","840 GB                 (2 * 420 GB HDD)","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"C3 High-CPU Extra Large","c3.xlarge","7.5 GiB","4 vCPUs","80 GB                 (2 * 40 GB SSD)","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"M2 High Memory Extra Large","m2.xlarge","17.1 GiB","2 vCPUs","420 GB                 HDD","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"M3 General Purpose Extra Large","m3.xlarge","15.0 GiB","4 vCPUs","80 GB                 (2 * 40 GB SSD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"M1 General Purpose Extra Large","m1.xlarge","15.0 GiB","4 vCPUs","1680 GB                 (4 * 420 GB HDD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"C3 High-CPU Double Extra Large","c3.2xlarge","15.0 GiB","8 vCPUs","160 GB                 (2 * 80 GB SSD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G Extra Large","g5g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M2 High Memory Double Extra Large","m2.2xlarge","34.2 GiB","4 vCPUs","850 GB                 HDD","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"C1 High-CPU Extra Large","c1.xlarge","7.0 GiB","8 vCPUs","1680 GB                 (4 * 420 GB HDD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN Extra Large","d3en.xlarge","16.0 GiB","4 vCPUs","27960 GB                 (2 * 13980 GB NVMe HDD)","Up to 25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M3 General Purpose Double Extra Large","m3.2xlarge","30.0 GiB","8 vCPUs","160 GB                 (2 * 80 GB SSD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G Double Extra Large","g5g.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G2 Double Extra Large","g2.2xlarge","15.0 GiB","8 vCPUs","60 GB                 SSD","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"VT1 3xlarge","vt1.3xlarge","24.0 GiB","12 vCPUs","EBS only","3.12 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
