Instance Type,Region,vCpus,Memory,Network,Hourly Price
p2.xlarge,US East (N. Virginia),4,61 GiB,High,0.9000000000
i4i.xlarge,US East (N. Virginia),4,32 GiB,Up to 10 Gigabit,0.3430000000
a1.2xlarge,US East (N. Virginia),8,16 GiB,Up to 10 Gigabit,0.2040000000
c6id.12xlarge,US East (N. Virginia),48,96 GiB,18750 Megabit,2.4192000000
r5.8xlarge,US East (N. Virginia),32,256 GiB,10 Gigabit,2.0160000000
m6a.8xlarge,US East (N. Virginia),32,128 GiB,12500 Megabit,1.3824000000
c5.18xlarge,US East (N. Virginia),72,144 GiB,25 Gigabit,3.0600000000
c6a.24xlarge,US East (N. Virginia),96,192 GiB,37500 Megabit,3.6720000000
r6idn.4xlarge,US East (N. Virginia),16,128 GiB,Up to 50000 Megabit,1.5631200000
m5a.xlarge,US East (N. Virginia),4,16 GiB,Up to 10 Gigabit,0.0000000000
x1e.16xlarge,US East (N. Virginia),64,1952 GiB,10 Gigabit,13.3440000000
h1.4xlarge,US East (N. Virginia),16,64 GiB,Up to 10 Gigabit,1.1000000000
m5ad.4xlarge,US East (N. Virginia),16,64 GiB,Up to 10 Gigabit,0.8240000000
m5.xlarge,US East (N. Virginia),4,16 GiB,Up to 10 Gigabit,0.1920000000
t4g.2xlarge,US East (N. Virginia),8,32 GiB,Up to 5 Gigabit,0.2688000000
i4g.4xlarge,US East (N. Virginia),16,128 GiB,Up to 25 Gigabit,1.2355200000
i4i.4xlarge,US East (N. Virginia),16,128 GiB,Up to 25 Gigabit,0.0000000000
r6a.8xlarge,US East (N. Virginia),32,256 GiB,12500 Megabit,1.8144000000
m6a.48xlarge,US East (N. Virginia),192,768 GiB,50000 Megabit,8.2944000000
d3en.2xlarge,US East (N. Virginia),8,32 GiB,Up to 25 Gigabit,1.0510000000
i2.xlarge,US East (N. Virginia),4,30.5 GiB,Moderate,0.8530000000
m7g.16xlarge,US East (N. Virginia),64,256 GiB,30 Gigabit,2.6112000000
c6gn.16xlarge,US East (N. Virginia),64,128 GiB,100 Gigabit,2.7648000000
r5n.2xlarge,US East (N. Virginia),8,64 GiB,Up to 25 Gigabit,0.5960000000
c6g.4xlarge,US East (N. Virginia),16,32 GiB,Up to 10 Gigabit,0.0000000000
m5a.2xlarge,US East (N. Virginia),8,32 GiB,Up to 10 Gigabit,0.0000000000
im4gn.2xlarge,US East (N. Virginia),8,32 GiB,Up to 25 Gigabit,0.7275800000
t3a.small,US East (N. Virginia),2,2 GiB,Up to 5 Gigabit,0.0000000000
m7g.large,US East (N. Virginia),2,8 GiB,Up to 12500 Megabit,0.0000000000
g3s.xlarge,US East (N. Virginia),4,30.5 GiB,10 Gigabit,0.7500000000
c6gn.medium,US East (N. Virginia),1,2 GiB,Up to 25 Gigabit,0.0000000000
r6gd.16xlarge,US East (N. Virginia),64,512 GiB,25 Gigabit,0.0000000000
m5d.xlarge,US East (N. Virginia),4,16 GiB,Up to 10 Gigabit,0.0000000000
c6g.metal,US East (N. Virginia),64,128 GiB,25 Gigabit,2.1760000000
m6i.4xlarge,US East (N. Virginia),16,64 GiB,Up to 12500 Megabit,0.7680000000
x2gd.2xlarge,US East (N. Virginia),8,128 GiB,Up to 10 Gigabit,0.6680000000
r5dn.12xlarge,US East (N. Virginia),48,384 GiB,50 Gigabit,4.0080000000
m6idn.12xlarge,US East (N. Virginia),48,192 GiB,75000 Megabit,3.8188800000
m5zn.12xlarge,US East (N. Virginia),48,192 GiB,100 Gigabit,0.0000000000
m5zn.12xlarge,US East (N. Virginia),48,192 GiB,100 Gigabit,3.9641000000
m5n.8xlarge,US East (N. Virginia),32,128 GiB,25 Gigabit,0.0000000000
r5d.large,US East (N. Virginia),2,16 GiB,Up to 10 Gigabit,0.1440000000
i4g.8xlarge,US East (N. Virginia),32,256 GiB,18750 Megabit,2.4710400000
t1.micro,US East (N. Virginia),1,0.613 GiB,Very Low,0.0200000000
c6i.8xlarge,US East (N. Virginia),32,64 GiB,12500 Megabit,1.3600000000
